id_category;name;description;position;active;id_parent;
"1";"Racine";"";"0";"1";"0";
"2";"Accueil";"";"0";"1";"1";
"43";"Jouets";"";"3";"1";"2";
"135";"NOUVEAUTE";"";"6";"1";"2";
"54";"PROMOS";"";"5";"1";"2";
"8";"Cosmétiques";"";"2";"1";"2";
"4";"Homme";"";"1";"1";"2";
"6";"Prêt à Porter";"";"4";"0";"2";
"3";"Femme";"";"0";"1";"2";
"153";"Ensemble 2 & 3 pièces";"";"4";"1";"3";
"152";"Nuisette & Guépière";"";"12";"1";"3";
"25";"Bodystockings";"";"6";"1";"3";
"148";"Bas & Collant";"";"10";"1";"3";
"7";"Déguisements";"";"5";"1";"3";
"159";"Déguisement";"";"13";"1";"3";
"42";"Lingerie femme grande taille";"";"7";"1";"3";
"175";"GANTS & MITAINES";"";"9";"1";"3";
"211";"MAPALE LINGERIE";"";"17";"1";"3";
"10";"Bodys";"";"0";"1";"3";
"11";"Bustiers, corsets & guêpières";"";"2";"1";"3";
"12";"Nuisettes & Babydolls";"";"3";"1";"3";
"14";"Porte jarretelles & jarretières";"";"11";"1";"3";
"176";"Chaussettes, Mi-bas";"";"8";"1";"3";
"15";"Strings & Pantys";"";"1";"1";"3";
"198";"Costumes sexy";"";"15";"1";"3";
"195";"Mi-bas";"";"14";"1";"3";
"200";"Leggings sexy & Shorts";"";"16";"1";"3";
"142";"Mini Pant";"";"9";"1";"4";
"143";"Boxer";"";"7";"1";"4";
"140";"String";"";"3";"1";"4";
"139";"Jock";"";"1";"1";"4";
"141";"Tanga";"";"4";"1";"4";
"5";"T-shirts";"Les must have de votre garde-robe : découvrez les divers modèles ainsi que les différentes
coupes et couleurs de notre collection !";"5";"1";"4";
"16";"Jocks";"";"0";"1";"4";
"20";"Boxers";"";"6";"1";"4";
"17";"Strings";"";"2";"1";"4";
"19";"Mini Pants";"";"8";"1";"4";
"39";"Haut & Top";"";"3";"1";"6";
"40";"Maillot de bain & Pareo";"";"8";"1";"6";
"155";"Robe";"";"4";"1";"6";
"145";"Tshirt";"";"1";"1";"6";
"160";"Jupes, Leggins & Shorts";"";"5";"1";"6";
"22";"T-shirts";"";"7";"1";"6";
"76";"Robe, jupe, top & tutu DREAMGIRL";"";"6";"1";"6";
"183";"Maillot de bain";"";"9";"1";"6";
"201";"Maillot de bain sexy et Pareo";"";"12";"1";"6";
"41";"Jupes, Leggings & Shorts";"";"2";"1";"6";
"189";"top & tutu DREAMGIRL";"";"11";"1";"6";
"194";"Chaussettes";"";"10";"1";"6";
"26";"Robes";"";"0";"1";"6";
"158";"Tatouage Ephémère";"";"3";"1";"8";
"55";"Parfum aux phéromones";"";"0";"1";"8";
"28";"Lubrifants & Crèmes";"";"2";"1";"8";
"27";"Huiles & Bougies de massage";"";"1";"1";"8";
"193";"RESORT";"";"1";"1";"10";
"110";"RENE ROFE";"";"0";"1";"10";
"92";"Body MAPALE";"";"2";"1";"10";
"150";"Body";"";"3";"1";"10";
"151";"Bustier & Corset";"";"2";"1";"11";
"191";"corsets & guêpières";"";"1";"1";"11";
"190";"Bustiers";"";"0";"1";"11";
"67";"DREAMGIRL";"";"0";"1";"12";
"154";"Porte jarretelles & Jarretière";"";"0";"1";"14";
"147";"String & Panty";"";"0";"1";"15";
"149";"Bodystocking";"";"0";"1";"25";
"197";"Combinaisons";"";"1";"1";"25";
"206";"Combinaisons Grandes tailles";"";"2";"1";"25";
"204";"Guépières et Corsets Grandes tailles";"";"5";"1";"42";
"199";"Nuisettes et Babydolls Grandes Tailles";"";"0";"1";"42";
"203";"Ensembles 2 et 3 pièces Grandes tailles";"";"3";"1";"42";
"205";"Costumes sexy Grandes tailles";"";"6";"1";"42";
"202";"Strings et Pantys Grandes tailles";"";"2";"1";"42";
"210";"Porte Jarretelles Grandes taille";"";"1";"1";"42";
"209";"Robes sexy Grandes tailles";"";"4";"1";"42";
"208";"Bodys Grandes tailles";"";"8";"1";"42";
"207";"Bas et Collants Grandes tailles";"";"7";"1";"42";
"57";"Vibromasseur &  Rabbit";"";"4";"1";"43";
"31";"Bijoux & Masques & Gants & Mitaines";"";"8";"1";"43";
"187";"cockring & manchon pénien";"";"10";"1";"43";
"33";"Menottes & Colliers & Fouets";"";"0";"1";"43";
"62";"Oeuf vibrant";"";"6";"1";"43";
"61";"Stimulateur clitoris";"";"1";"1";"43";
"58";"Anneau, cockring & manchon pénien";"";"7";"1";"43";
"59";"Gode & Gode ceinture";"";"5";"1";"43";
"60";"Plug anal & vibromasseur anal";"";"3";"1";"43";
"186";"Anneau";"";"9";"1";"43";
"63";"Boule de geisha";"";"2";"1";"43";
"24";"Collants";"";"1";"1";"148";
"23";"Bas";"";"0";"1";"148";
"181";"Les roses";"";"1";"1";"153";
"178";"Les noirs";"";"2";"1";"153";
"180";"Les colorés";"";"0";"1";"153";
"179";"Les rouges";"";"3";"1";"153";
"185";"Leggings & Shorts";"";"3";"1";"160";
"184";"Jupes";"";"0";"1";"160";
"188";"jupe";"";"0";"1";"184";
"196";"Leggins & Shorts";"";"0";"1";"185";
"212";"RESORT";"";"0";"1";"211";
