ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
54;;PROMOS;;;;;;;;
23;;Bas;;;;;;;;
15;;Strings & Pantys;;;;;;;;
148;;Bas & Collant;;;;;;;;
24;;Collants;;;;;;;;
25;;Bodystockings;;;;;;;;
26;;Robes;;;;;;;;
16;;Jocks;;;;;;;;
140;;String;;;;;;;;
17;;Strings;;;;;;;;
141;;Tanga;;;;;;;;
18;;Tanga;;;;;;;;
142;;Mini Pant;;;;;;;;
19;;Mini Pants;;;;;;;;
20;;Boxers;;;;;;;;
143;;Boxer;;;;;;;;
4;;Lingerie Homme;;;;;;;;
145;;Tshirt;;;;;;;;
7;;Déguisements;;;;;;;;
152;;Nuisette & Guépière;;;;;;;;
153;;Ensemble 2 & 3 pièces;;;;;;;;
13;;Ensemble 2 & 3 pièces;;;;;;;;
12;;Nuisettes & Babydolls;;;;;;;;
10;;Bodys;;;;;;;;
42;;Lingerie femme grande taille;;;;;;;;
41;;Jupes, Leggings & Shorts;;;;;;;;
40;;Maillot de bain & Pareo;;;;;;;;
183;;Maillot de bain;;;;;;;;
39;;Haut & Top ;;;;;;;;
156;;Haut & Top;;;;;;;;
154;;Porte jarretelles & Jarretière;;;;;;;;
151;;Bustier & Corset;;;;;;;;
159;;Déguisement;;;;;;;;
155;;Robe;;;;;;;;
60;;Plug anal & vibromasseur anal ;;;;;;;;
57;;Vibromasseur &  Rabbit;;;;;;;;
58;;Anneau, cockring & manchon pénien;;;;;;;;
62;;Oeuf vibrant;;;;;;;;
59;;Gode & Gode ceinture;;;;;;;;
3;;Lingerie Femme;;;;;;;;
8;;COSMETIQUES;;;;;;;;
22;;T-shirts;;;;;;;;
149;;Bodystocking;;;;;;;;
67;;DREAMGIRL;;;;;;;;
150;;Body;;;;;;;;
14;;Porte jarretelles & jarretières;;;;;;;;
76;;Robe, jupe, top & tutu DREAMGIRL;;;;;;;;
55;;Parfum aux phéromones;;;;;;;;
110;;RENE ROFE;;;;;;;;
147;;String & Panty;;;;;;;;
31;;Bijoux & Masques & Gants & Mitaines;;;;;;;;
28;;Lubrifants & Crèmes;;;;;;;;
11;;Bustiers, corsets & guêpières;;;;;;;;
63;;Boule de geisha;;;;;;;;
139;;Jock;;;;;;;;
27;;Huiles & Bougies de massage;;;;;;;;
43;;Sextoys;;;;;;;;
61;;Stimulateur clitoris;;;;;;;;
33;;Menottes & Colliers & Fouets;;;;;;;;
158;;Tatouage Ephémère;;;;;;;;
88;;MAPALE LINGERIE/RESORT;;;;;;;;
92;;Body MAPALE;;;;;;;;
6;;Prêt à Porter;;;;;;;;
135;;NOUVEAUTE;;;;;;;;
175;;GANTS & MITAINES;;;;;;;;
176;;Chaussettes, Mi-bas;;;;;;;;
21;;Bodys;;;;;;;;
180;;Les colorés;;;;;;;;
181;;Les roses;;;;;;;;
178;;Les noirs;;;;;;;;
179;;Les rouges;;;;;;;;
160;;Jupes, Leggins & Shorts;;;;;;;;
