ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
14;1;Porte jarretelle et bas int?gr?s;PROMOS;;1;5.56;;;;;;FDG0166;FDG0166BLKOS;CL-DIFFUSION;DREAMGIRL;;876802202306;;;;;;15;;;;;;;Jolie porte jarretelle en lani?res dentelles ouverte avec bas assortis li?s par jarretelles fixes - Composition 100% Nylon;;Porte jarretelle sexy;porte jarretelle,porte jarretelle sexy,porte jarretelle pas cher,lingerie femme pas cher,lingerie femme;Le porte jarretelle, la lingerie qui finira votre tenue sexy;porte-jarretelle-et-bas-int?gr?s;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5079/porte-jarretelle-et-bas-int?gr?s.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5080/porte-jarretelle-et-bas-int?gr?s.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5083/porte-jarretelle-et-bas-int?gr?s.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5084/porte-jarretelle-et-bas-int?gr?s.jpg, , , , ;;;1;new;;;;;;;;
16;1;Shorty avec porte jarretelle et bas;Bas;;1;10.67;;;;;;DG0092;DG0092BLKOS;CL-DIFFUSION;DREAMGIRL;;876802128910;;;;;;102;;;;;;;Splendide shorty avec jarretelles fixes et bas r?sille - Composition 95% e Nylon et 5% de Spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;shorty-avec-porte-jarretelle-et-bas;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5091/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5089/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5092/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5090/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5097/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5095/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5096/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5098/shorty-avec-porte-jarretelle-et-bas.jpg;;;1;new;;;;;;;;
16;1;Shorty avec porte jarretelle et bas;Bas;;1;10.67;;;;;;DG0092;DG0092HPKOS;CL-DIFFUSION;DREAMGIRL;0;876802204188;;;;;;8;;;;;;;Splendide shorty avec jarretelles fixes et bas r?sille - Composition 95% e Nylon et 5% de Spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;shorty-avec-porte-jarretelle-et-bas;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5091/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5089/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5092/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5090/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5097/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5095/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5096/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5098/shorty-avec-porte-jarretelle-et-bas.jpg;;;1;new;;;;;;;;
17;1;Shorty avec porte jarretelle et bas;Bas;;1;8.82;;;;;;DG0093;DG0093BLKOS;CL-DIFFUSION;DREAMGIRL;;876802128866;;;;;;0;;;;;;;Splendide shorty avec jarretelles fixes et bas - Composition 85% de Nylon et 15% de Spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;shorty-avec-porte-jarretelle-et-bas;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5103/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5104/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5101/shorty-avec-porte-jarretelle-et-bas.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5102/shorty-avec-porte-jarretelle-et-bas.jpg, , , , ;;;1;new;;;;;;;;
20;1;Culotte;Strings & Pantys;;1;4.41;;;;;;DG1300;DG1300WHTL;CL-DIFFUSION;DREAMGIRL;0;;;;;;;1;;;;;;;Culotte ouverte ? l'entrejambe avec froufous et petit n?ud ? l'arri?re - Composition 92% Polyester et 12? spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;culotte;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;1;new;;;;;;;;
20;1;Culotte;Strings & Pantys;;1;4.41;;;;;;DG1300;DG1300HPKM;CL-DIFFUSION;DREAMGIRL;0;;;;;;;9;;;;;;;Culotte ouverte ? l'entrejambe avec froufous et petit n?ud ? l'arri?re - Composition 92% Polyester et 12? spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;culotte;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;1;new;;;;;;;;
20;1;Culotte;Strings & Pantys;;1;4.41;;;;;;DG1300;DG1300REDL;CL-DIFFUSION;DREAMGIRL;;;;;;;;18;;;;;;;Culotte ouverte ? l'entrejambe avec froufous et petit n?ud ? l'arri?re - Composition 92% Polyester et 12? spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;culotte;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;1;new;;;;;;;;
20;1;Culotte;Strings & Pantys;;1;4.41;;;;;;DG1300;DG1300BLKM;CL-DIFFUSION;DREAMGIRL;;;;;;;;9;;;;;;;Culotte ouverte ? l'entrejambe avec froufous et petit n?ud ? l'arri?re - Composition 92% Polyester et 12? spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;culotte;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;1;new;;;;;;;;
20;1;Culotte;Strings & Pantys;;1;4.41;;;;;;DG1300;DG1300HPKS;CL-DIFFUSION;DREAMGIRL;;;;;;;;6;;;;;;;Culotte ouverte ? l'entrejambe avec froufous et petit n?ud ? l'arri?re - Composition 92% Polyester et 12? spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;culotte;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;1;new;;;;;;;;
20;1;Culotte;Strings & Pantys;;1;4.41;;;;;;DG1300;DG1300WHTS;CL-DIFFUSION;DREAMGIRL;;;;;;;;6;;;;;;;Culotte ouverte ? l'entrejambe avec froufous et petit n?ud ? l'arri?re - Composition 92% Polyester et 12? spandex;;String, shorty, culotte sexy;string femme,string sexy,string sexy pas cher,culotte femme,panty femme,lingerie sexy,lingerie sexy pas cher;Un petit dessous sexy qui pourra changer toute la donne !;culotte;;;;;;;http://www.boutique.cldiffusion-grossiste-lingerie.fr/img/p/fr-default.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5620/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5622/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5624/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5626/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5619/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5621/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5623/culotte.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5625/culotte.jpg;;;1;new;;;;;;;;
