ID;Active__0_1_;Name__;Categories__x_y_z____;Price_tax_excluded_or_Price_tax_included;Tax_rules_ID;Wholesale_price;Reference__;Supplier_reference__;Supplier;Manufacturer;EAN13;UPC;Ecotax;Short_description;Description;Meta_title;Meta_keywords;Meta_description;URL_rewritten;Image_URLs__x_y_z____;Available_online_only__0___No__1___Yes_;Advanced_stock_management;Condition
14;1;Porte jarretelle et bas intégrés;Porte jarretelles & jarretières;13.9;1;5.56;FDG0166;FDG0166BLKOS;CL-DIFFUSION;DREAMGIRL;;876802202306;0;;Jolie porte jarretelle en lanières dentelles ouverte avec bas assortis liés par jarretelles fixes - Composition 100% Nylon;Porte jarretelle sexy;porte jarretelle,porte jarretelle sexy,porte jarretelle pas cher,lingerie femme pas cher,lingerie femme;Le porte jarretelle, la lingerie qui finira votre tenue sexy;porte-jarretelle-et-bas-intégrés;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5079/porte-jarretelle-et-bas-intégrés.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5080/porte-jarretelle-et-bas-intégrés.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5083/porte-jarretelle-et-bas-intégrés.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5084/porte-jarretelle-et-bas-intégrés.jpg, , , , ;1;1;new
21;1;Bas résille;Bas;12.4;1;4.96;DG0001;DG0001BLKOS;CL-DIFFUSION;DREAMGIRL;;876802036482;0;;Ravissants bas résille avec couture à l'arrière et bandes dentelles (string non inclus) - Composition 80% de Nylon et 20% de Spandex;Bas sexy;bas pas cher,bas sexy,bas ligne noir,bas resille,bas nylon,bas flashy,bas sexy pas cher;superbe paire de bas en résille qui fera son effet.;bas-résille-autofixant;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5115/bas-résille-autofixant.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5113/bas-résille-autofixant.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5479/bas-résille-autofixant.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5116/bas-résille-autofixant.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5114/bas-résille-autofixant.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5343/bas-résille-autofixant.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5481/bas-résille-autofixant.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5485/bas-résille-autofixant.jpg;1;1;new
38;1;Bas résille grande maille;Bas;4.45;1;1.78;FDG0003;FDG0003BLKOS;CL-DIFFUSION;DREAMGIRL;;;0;;Charmants bas résille avec bandes autofixantes en dentelle (string non inclus) - Composition 88% de Nylon et 12% de Spandex;Bas sexy;bas pas cher,bas sexy,bas ligne noir,bas resille,bas nylon,bas flashy,bas sexy pas cher;Le petit bas en plus qui fera tout son effet;bas-résille-grande-maille;http://www.boutique.cldiffusion-grossiste-lingerie.fr/563/bas-résille-grande-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/564/bas-résille-grande-maille.jpg, , , , , , ;1;1;new
44;1;Collant résille;Collants;5.8999996;1;2.36;DG0011;DG0011BLKOS;CL-DIFFUSION;DREAMGIRL;;876802036659;0;;Collant résille raffiné et élégant avec fine couture noire à l'arrière - Composition 100% Nylon;Collant sexy;collant pas cher,collant sexy,collant ouvert,collant resille,collant strass,lingerie femme pas cher,lingerie pas cher;Le collant revisité pour être plus sexy que jamais;collant-résille;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5475/collant-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5473/collant-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5476/collant-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5474/collant-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5471/collant-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5477/collant-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5472/collant-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5478/collant-résille.jpg;1;1;new
50;1;Collant résille avec shorty dentelle intégré;Collants;19.8;1;7.92;DG0029;DG0029BLKOS;CL-DIFFUSION;DREAMGIRL;;876802050853;0;;Joli collant résille avec shorty en dentelle - Composition 80% de Nylon et 20% de Spandex;Collant sexy;Collant pas cher, collant sexy, collant ouvert, collant resille, collant strass, lingerie femme pas cher, lingerie pas cher;Le collant revisité pour être plus sexy que jamais;collant-résille-avec-shorty-dentelle-intégré;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5494/collant-résille-avec-shorty-dentelle-intégré.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5493/collant-résille-avec-shorty-dentelle-intégré.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5495/collant-résille-avec-shorty-dentelle-intégré.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5496/collant-résille-avec-shorty-dentelle-intégré.jpg, , , , ;1;1;new
51;1;Combinaison résille;Bodystockings/Combinaisons;12.799999;1;5.12;DG0015;DG0015BLKOS;CL-DIFFUSION;DREAMGIRL;;876802036734;0;;Joli body stocking résille à manches longues ouvert au niveau de l'entrejambe - Composition 100% Nylon;Sublime combinaison sexy;bodystocking,combinaison,lingerie pas cher,lingerie sexy pas cher,lingerie femme,lingerie femme sexy;La lingerie sexy pas cher par excellence, la combinaison sexy et glam' à la fois;combinaison-résille;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5498/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5500/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5497/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5499/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5502/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5504/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5501/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5503/combinaison-résille.jpg;1;1;new
54;1;Combinaison échancrée;Bodystockings/Combinaisons;15.0;1;6.0;DG0031;DG0031BLKOS;CL-DIFFUSION;DREAMGIRL;;876802050181;0;;Magnifique body stocking ouvert (string non inclus) - Composition 100% Nylon;Sublime combinaison sexy;bodystocking,combinaison,lingerie pas cher,lingerie sexy pas cher,lingerie femme,lingerie femme sexy;La lingerie sexy pas cher par excellence, la combinaison sexy et glam' à la fois;combinaison-échancrée;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5506/combinaison-échancrée.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5505/combinaison-échancrée.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/604/combinaison-échancrée.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/605/combinaison-échancrée.jpg, , , , ;1;1;new
57;1;Combinaison résille;Bodystockings/Combinaisons;17.0;1;6.8;DG0079;DG0079BLKOS;CL-DIFFUSION;DREAMGIRL;;876802096004;0;;Joli body stocking résille avec décolleté, ouvert au niveau de l'entrejambe - Composition 85% de Nylon et 15% de Spandex;Sublime combinaison sexy;bodystocking,combinaison,lingerie pas cher,lingerie sexy pas cher,lingerie femme,lingerie femme sexy;La lingerie sexy pas cher par excellence, la combinaison sexy et glam' à la fois;combinaison-résille;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5512/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5511/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/610/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/611/combinaison-résille.jpg, , , , ;1;1;new
58;1;Combinaison résille;Bodystockings/Combinaisons;15.900001;1;6.36;FDG0096;FDG0096BLKOS;CL-DIFFUSION;DREAMGIRL;;876802131200;0;;Magnifique body stocking en résille fine et délicate au motif floral avec manches trois quart et décolleté en V sur la poitrine et dans le dos - Composition 90% de Nylon et 10% de Spandex;Sublime combinaison sexy;bodystocking,combinaison,lingerie pas cher,lingerie sexy pas cher,lingerie femme,lingerie femme sexy;La lingerie sexy pas cher par excellence, la combinaison sexy et glam' à la fois;combinaison-résille;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5514/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5516/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5513/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5515/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/612/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/615/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/613/combinaison-résille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/614/combinaison-résille.jpg;1;1;new
63;1;Combinaison résille grosse maille;Bodystockings/Combinaisons;25.8;1;10.32;DG0102;DG0102BLKOS;CL-DIFFUSION;DREAMGIRL;;876802129511;0;;combinaison opaque ouvert sur les côtés avec jarretelles fixes et bas résille assortis (string non inclus) - Composition 80% de Nylon et 20% de Spandex;Sublime combinaison sexy;bodystocking,combinaison,lingerie pas cher,lingerie sexy pas cher,lingerie femme,lingerie femme sexy;La lingerie sexy pas cher par excellence, la combinaison sexy et glam' à la fois;combinaison-résille-grosse-maille;http://www.boutique.cldiffusion-grossiste-lingerie.fr/5524/combinaison-résille-grosse-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5526/combinaison-résille-grosse-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5527/combinaison-résille-grosse-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5523/combinaison-résille-grosse-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5525/combinaison-résille-grosse-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5528/combinaison-résille-grosse-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5529/combinaison-résille-grosse-maille.jpg, http://www.boutique.cldiffusion-grossiste-lingerie.fr/5531/combinaison-résille-grosse-maille.jpg;1;1;new
