Product_Reference;Attribute__Name_Type_Position__;Value__Value_Position__;Supplier_reference;Reference;Default__0___No__1___Yes_;EAN13;UPC;Wholesale_price;Quantity
DG0092;Taille:select:0,Couleur:color:1;Taille: TU - 34/40, Couleur: Noir;DG0092BLKOS;DG0092BLKOS;;;876802128910;9.48;102
DG0092;Taille:select:0,Couleur:color:1;Taille: TU - 34/40, Couleur: Rose;DG0092HPKOS;DG0092HPKOS;;0;876802204188;9.48;8
DG1300;Taille:select:0,Couleur:color:1;Taille: L - 42/44, Couleur: Blanc;DG1300WHTL;DG1300WHTL;;0;;3.92;1
DG1300;Taille:select:0,Couleur:color:1;Taille: M - 38/40, Couleur: Rose Flashy;DG1300HPKM;DG1300HPKM;;0;;3.92;6
DG1300;Taille:select:0,Couleur:color:1;Taille: L - 42/44, Couleur: Rouge;DG1300REDL;DG1300REDL;;;;3.92;6
DG1300;Taille:select:0,Couleur:color:1;Taille: M - 38/40, Couleur: Noir;DG1300BLKM;DG1300BLKM;;;;3.92;0
DG1300;Taille:select:0,Couleur:color:1;Taille: S - 34/36, Couleur: Rose Flashy;DG1300HPKS;DG1300HPKS;;;;3.92;0
DG1300;Taille:select:0,Couleur:color:1;Taille: S - 34/36, Couleur: Blanc ;DG1300WHTS;DG1300WHTS;;;;3.92;6
DG1300;Taille:select:0,Couleur:color:1;Taille: M - 38/40, Couleur: Blanc;DG1300WHTM;DG1300WHTM;;;;3.92;9
DG1300;Taille:select:0,Couleur:color:1;Taille:  L - 42/44, Couleur: Hot Pink;DG1300HPKL;DG1300HPKL;;;;3.92;0
DG1300;Taille:select:0,Couleur:color:1;Taille: S - 34/36, Couleur: Rouge;DG1300REDS;DG1300REDS;;;;3.92;18
DG1300;Taille:select:0,Couleur:color:1;Taille: S - 34/36, Couleur: Noir;DG1300BLKS;DG1300BLKS;;;;3.92;0
DG1300;Taille:select:0,Couleur:color:1;Taille: M - 38/40, Couleur: Rouge;DG1300REDM;DG1300REDM;;;;3.92;9
